     #MC step,      Etot,     sig666,   sig655,   sig555,   sig544,   sig533,   sig532,   sig522,   sig521,   sig444,   sig433,   sig422,   sig421,   sig411,   sig400,   sig322,   sig311,   sig300,   sig211,   sig200,   sig100,   sig000
        74,     -139.547974, 0.013158, 0.000000, 0.228070, 0.070175, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.210526, 0.017544, 0.013158, 0.000000, 0.000000, 0.289474, 0.057018, 0.000000, 0.065789, 0.035088, 0.000000, 0.000000
        75,     -140.164169, 0.000000, 0.000000, 0.068807, 0.055046, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.160550, 0.036697, 0.059633, 0.009174, 0.000000, 0.220183, 0.192661, 0.018349, 0.045872, 0.128440, 0.004587, 0.000000
        76,     -141.405807, 0.009346, 0.000000, 0.191589, 0.056075, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.200935, 0.032710, 0.009346, 0.000000, 0.000000, 0.303738, 0.098131, 0.004673, 0.032710, 0.060748, 0.000000, 0.000000
        77,     -140.317719, 0.000000, 0.000000, 0.127753, 0.070485, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.158590, 0.110132, 0.026432, 0.000000, 0.000000, 0.242291, 0.105727, 0.039648, 0.039648, 0.074890, 0.004405, 0.000000
        78,     -141.405807, 0.004444, 0.000000, 0.097778, 0.088889, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.182222, 0.093333, 0.026667, 0.000000, 0.000000, 0.226667, 0.124444, 0.000000, 0.057778, 0.097778, 0.000000, 0.000000
        79,     -140.202530, 0.004444, 0.000000, 0.093333, 0.066667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.155556, 0.115556, 0.053333, 0.004444, 0.000000, 0.280000, 0.124444, 0.000000, 0.040000, 0.062222, 0.000000, 0.000000
        80,     -140.966721, 0.004878, 0.000000, 0.175610, 0.082927, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.180488, 0.082927, 0.009756, 0.000000, 0.000000, 0.258537, 0.058537, 0.000000, 0.092683, 0.053659, 0.000000, 0.000000
        81,     -140.318436, 0.000000, 0.000000, 0.128319, 0.084071, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.176991, 0.061947, 0.030973, 0.008850, 0.000000, 0.283186, 0.128319, 0.008850, 0.044248, 0.039823, 0.004425, 0.000000
        82,     -140.164642, 0.000000, 0.000000, 0.076577, 0.058559, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.139640, 0.081081, 0.058559, 0.009009, 0.000000, 0.189189, 0.220721, 0.013514, 0.049550, 0.103604, 0.000000, 0.000000
        83,     -140.966721, 0.000000, 0.000000, 0.031674, 0.058824, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.095023, 0.076923, 0.104072, 0.027149, 0.000000, 0.226244, 0.244344, 0.018100, 0.054299, 0.063348, 0.000000, 0.000000
        84,     -140.637115, 0.000000, 0.000000, 0.081340, 0.086124, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.215311, 0.052632, 0.023923, 0.004785, 0.000000, 0.215311, 0.177033, 0.000000, 0.047847, 0.095694, 0.000000, 0.000000
        85,     -141.813004, 0.000000, 0.000000, 0.091743, 0.004587, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.004587, 0.339450, 0.000000, 0.000000, 0.000000, 0.211009, 0.233945, 0.032110, 0.018349, 0.064220, 0.000000, 0.000000
        86,     -141.405807, 0.000000, 0.000000, 0.009132, 0.013699, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013699, 0.168950, 0.205479, 0.018265, 0.000000, 0.100457, 0.223744, 0.036530, 0.118721, 0.082192, 0.009132, 0.000000
        87,     -140.952637, 0.004464, 0.000000, 0.044643, 0.071429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.107143, 0.138393, 0.053571, 0.004464, 0.000000, 0.227679, 0.223214, 0.017857, 0.031250, 0.075893, 0.000000, 0.000000
        88,     -141.658752, 0.008621, 0.000000, 0.090517, 0.021552, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.025862, 0.318966, 0.008621, 0.000000, 0.000000, 0.237069, 0.219828, 0.021552, 0.025862, 0.021552, 0.000000, 0.000000
        89,     -140.502426, 0.000000, 0.000000, 0.022523, 0.058559, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.099099, 0.171171, 0.090090, 0.004505, 0.000000, 0.193694, 0.225225, 0.000000, 0.054054, 0.081081, 0.000000, 0.000000
        90,     -140.432602, 0.000000, 0.000000, 0.035874, 0.085202, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.112108, 0.143498, 0.071749, 0.004484, 0.000000, 0.152466, 0.215247, 0.008969, 0.071749, 0.098655, 0.000000, 0.000000
        91,     -140.432602, 0.000000, 0.000000, 0.206186, 0.061856, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.185567, 0.046392, 0.020619, 0.000000, 0.000000, 0.298969, 0.051546, 0.020619, 0.072165, 0.036082, 0.000000, 0.000000
        92,     -141.405807, 0.000000, 0.000000, 0.000000, 0.004608, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.013825, 0.119816, 0.294931, 0.004608, 0.000000, 0.046083, 0.294931, 0.004608, 0.101382, 0.110599, 0.004608, 0.000000
        93,     -140.318436, 0.004566, 0.000000, 0.114155, 0.073059, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.091324, 0.155251, 0.031963, 0.009132, 0.000000, 0.242009, 0.118721, 0.018265, 0.068493, 0.073059, 0.000000, 0.000000
        94,     -141.813004, 0.004425, 0.000000, 0.084071, 0.084071, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.168142, 0.101770, 0.048673, 0.008850, 0.000000, 0.216814, 0.150442, 0.013274, 0.048673, 0.070796, 0.000000, 0.000000
        95,     -141.405807, 0.000000, 0.000000, 0.162304, 0.083770, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.183246, 0.062827, 0.010471, 0.000000, 0.000000, 0.235602, 0.073298, 0.005236, 0.094241, 0.089005, 0.000000, 0.000000
